key_date,key_amount_clp,meta_invoice_id,meta_brand,meta_date,meta_transaction_id,meta_payment_reference,meta_amount_clp,meta_status,meta_source_file,cartola_row,cartola_reference,cartola_date,cartola_facebk_code,cartola_amount_clp,cartola_amount_usd,cartola_city,cartola_description
2026-03-10,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-10,25935519369466764-25856422970709742,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-10T20-23 Transacción n.º 25935519369466764-25856422970709742.pdf,16,1103 74987506069000322721073,2026-03-10,QXTTDJZ5E2,600000,672.26,fb.me/ads,FACEBK *QXTTDJZ5E2
2026-03-10,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-10,25976871075331596-25928309896854378,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-10T03-50 Transacción n.º 25976871075331596-25928309896854378.pdf,15,1103 74987506069000307752226,2026-03-10,RZ77YHD6E2,600000,672.26,fb.me/ads,FACEBK *RZ77YHD6E2
2026-03-11,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-11,25991736590511711-25996376553381042,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-11T14-58 Transacción n.º 25991736590511711-25996376553381042.pdf,19,1203 74987506070003026025061,2026-03-11,6AKJ2HV5E2,600000,693.68,fb.me/ads,FACEBK *6AKJ2HV5E2
2026-03-11,600000,meta-pilares-2026-03,Pilares,2026-03-11,26338985145788789-26253201047700538,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-11T02-04 Transacción n.º 26338985145788789-26253201047700538.pdf,18,1203 74987506070000006042090,2026-03-11,APWVYGV5E2,600000,693.68,fb.me/ads,FACEBK *APWVYGV5E2
2026-03-11,600000,meta-socovesa-2026-03,Socovesa,2026-03-11,26197584616599399-26662092860148571,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-11T13-10 Transacción n.º 26197584616599399-26662092860148571.pdf,20,1103 74987506069000144089220,2026-03-11,DDT28H56E2,600000,693.68,fb.me/ads,FACEBK *DDT28H56E2
2026-03-12,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-12,25954882590863774-25890506970634676,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-12T09-57 Transacción n.º 25954882590863774-25890506970634676.pdf,21,1303 74987506071000227733088,2026-03-12,FLML5HV5E2,600000,685.53,fb.me/ads,FACEBK *FLML5HV5E2
2026-03-12,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-12,26268335589518470-26004200112598690,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-12T23-48 Transacción n.º 26268335589518470-26004200112598690.pdf,23,1303 74987506071000221330097,2026-03-12,L8HESGV6E2,600000,685.53,fb.me/ads,FACEBK *L8HESGV6E2
2026-03-12,600000,meta-pilares-2026-03,Pilares,2026-03-12,26219499671070669-26270612969292679,,600000,Pagado,Facturas Meta\Pilares\marzo_2026\2026-03-12T18-27 Transacción n.º 26219499671070669-26270612969292679.pdf,22,1303 74987506071000337552089,2026-03-12,T88GDH96E2,600000,685.53,fb.me/ads,FACEBK *T88GDH96E2
2026-03-13,600000,meta-almagro-inmobiliaria-2026-03,Almagro Inmobiliaria,2026-03-13,25980884861596877-26018977457787618,,600000,Pagado,Facturas Meta\Almagro\marzo_2026\2026-03-13T19-23 Transacción n.º 25980884861596877-26018977457787618.pdf,24,1303 74987506072000203636064,2026-03-13,2WVY4HR6E2,600000,673.82,fb.me/ads,FACEBK *2WVY4HR6E2
2026-03-13,600000,meta-socovesa-2026-03,Socovesa,2026-03-13,26280110028346855-26301554869535710,,600000,Pagado,Facturas Meta\Socovesa\marzo_2026\2026-03-13T14-12 Transacción n.º 26280110028346855-26301554869535710.pdf,25,1603 74987506072000543458096,2026-03-13,48TCPJZ5E2,600000,669.76,fb.me/ads,FACEBK *48TCPJZ5E2
